"player","league","season","player_type","bowling_style.x","matches_played","innings_batted","balls_faced","runs_scored","boundaries_4s","boundaries_6s","dismissals","fifties","hundreds","strike_rate","average","dot_percentage.x","boundary_percentage.x","dot_percentage.y","boundary_percentage.y","matches_bowled","balls_bowled","runs_conceded","wickets","wides","noballs","byes","legbyes","economy_rate","bowling_average","bowling_strike_rate","extras_percentage","dot_balls","boundaries_conceded","dot_ball_percentage","boundary_conceded_percentage","bowling_style.y","bowling_style"
"A Balbirnie","Bangladesh Premier League","2022/23",NA,NA,5,5,97,101,9,3,5,0,0,104.123711340206,20.2,NA,NA,0.474226804123711,0.123711340206186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right-arm medium"
"A Dananjaya","Bangladesh Premier League","2017/18",NA,NA,1,1,11,7,0,0,1,0,0,63.6363636363636,7,NA,NA,0.454545454545455,0,2,42,47,1,1,0,0,0,6.71428571428571,47,42,0.0212765957446809,15,5,0.357142857142857,0.119047619047619,"Right-arm offbreak","Right-arm medium"
"A Lyth","Bangladesh Premier League","2017/18",NA,NA,3,3,11,7,1,0,3,0,0,63.6363636363636,2.33333333333333,NA,NA,0.727272727272727,0.0909090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right-arm medium"
"AB de Villiers","Bangladesh Premier League","2018/19",NA,NA,6,6,147,247,18,17,4,0,1,168.027210884354,61.75,NA,NA,0.340136054421769,0.238095238095238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right-arm medium"
"AC Thomas","Bangladesh Premier League","2012/13",NA,NA,6,6,35,36,4,0,4,0,0,102.857142857143,9,NA,NA,0.428571428571429,0.114285714285714,11,239,288,23,9,0,0,2,7.23012552301255,12.5217391304348,10.3913043478261,0.0381944444444444,107,36,0.447698744769874,0.150627615062762,"Right-arm fast-medium","Right-arm medium"
"ACR Birch","Bangladesh Premier League","2018/19",NA,NA,1,1,8,7,0,0,0,0,0,87.5,NA,NA,NA,0.125,0,2,48,82,3,5,0,4,1,10.25,27.3333333333333,16,0.121951219512195,16,11,0.333333333333333,0.229166666666667,"Right-arm medium-fast","Right-arm medium"
"AD Hales","Bangladesh Premier League","2018/19",NA,NA,8,8,182,304,31,14,7,2,1,167.032967032967,43.4285714285714,NA,NA,0.318681318681319,0.247252747252747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right-arm medium"
"AD Hales","Bangladesh Premier League","2023/24",NA,NA,2,2,50,82,10,4,2,1,0,164,41,NA,NA,0.44,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right-arm medium"
"AD Mascarenhas","Bangladesh Premier League","2012/13",NA,NA,1,1,11,19,0,2,1,0,0,172.727272727273,19,NA,NA,0.272727272727273,0.181818181818182,2,48,47,4,5,0,0,0,5.875,11.75,12,0.106382978723404,19,3,0.395833333333333,0.0625,"Right-arm fast-medium","Right-arm medium"
"AD Russell","Bangladesh Premier League","2011/12",NA,NA,3,3,36,64,7,3,2,0,0,177.777777777778,32,NA,NA,0.333333333333333,0.277777777777778,4,78,119,5,1,0,0,0,9.15384615384615,23.8,15.6,0.00840336134453781,30,16,0.384615384615385,0.205128205128205,NA,"Right-arm medium"
