"player","league","season","phase","balls_faced","runs","dismissals","strike_rate","dot_pct","boundary_pct","average"
"A Ayre","Big Bash League","2015/16","Powerplay",1,0,1,0,1,0,0
"A Flintoff","Big Bash League","2014/15","Middle",11,15,2,136.363636363636,0.454545454545455,0.181818181818182,7.5
"A Flintoff","Big Bash League","2014/15","Powerplay",49,59,2,120.408163265306,0.346938775510204,0.122448979591837,29.5
"A Lyth","Big Bash League","2022/23","Middle",11,12,1,109.090909090909,0.454545454545455,0.0909090909090909,12
"A Lyth","Big Bash League","2022/23","Powerplay",65,61,5,93.8461538461538,0.507692307692308,0.107692307692308,12.2
"A Zampa","Big Bash League","2012/13","Middle",5,3,0,60,0.6,0,NA
"A Zampa","Big Bash League","2012/13","Powerplay",16,14,3,87.5,0.5625,0.125,4.66666666666667
"A Zampa","Big Bash League","2014/15","Middle",2,2,0,100,0,0,NA
"A Zampa","Big Bash League","2014/15","Powerplay",14,13,2,92.8571428571429,0.714285714285714,0.142857142857143,6.5
"A Zampa","Big Bash League","2015/16","Middle",5,6,1,120,0.4,0.2,6
"A Zampa","Big Bash League","2015/16","Powerplay",14,20,1,142.857142857143,0.285714285714286,0.142857142857143,20
"A Zampa","Big Bash League","2016/17","Middle",3,4,1,133.333333333333,0.666666666666667,0.333333333333333,4
"A Zampa","Big Bash League","2016/17","Powerplay",10,5,0,50,0.7,0,NA
"A Zampa","Big Bash League","2017/18","Middle",3,3,1,100,0.333333333333333,0,3
"A Zampa","Big Bash League","2017/18","Powerplay",1,1,0,100,0,0,NA
"A Zampa","Big Bash League","2018/19","Middle",5,2,0,40,0.6,0,NA
"A Zampa","Big Bash League","2018/19","Powerplay",10,17,0,170,0.2,0.2,NA
"A Zampa","Big Bash League","2019/20","Middle",9,6,0,66.6666666666667,0.444444444444444,0,NA
"A Zampa","Big Bash League","2019/20","Powerplay",21,16,3,76.1904761904762,0.523809523809524,0.0952380952380952,5.33333333333333
"A Zampa","Big Bash League","2020/21","Middle",6,5,1,83.3333333333333,0.333333333333333,0,5
"A Zampa","Big Bash League","2020/21","Powerplay",22,22,2,100,0.545454545454545,0.136363636363636,11
"A Zampa","Big Bash League","2021/22","Middle",2,1,0,50,0.5,0,NA
"A Zampa","Big Bash League","2021/22","Powerplay",9,8,1,88.8888888888889,0.444444444444444,0.111111111111111,8
"A Zampa","Big Bash League","2022/23","Middle",4,1,1,25,0.75,0,1
"A Zampa","Big Bash League","2022/23","Powerplay",12,6,0,50,0.583333333333333,0,NA
"A Zampa","Big Bash League","2023/24","Middle",1,1,0,100,0,0,NA
"A Zampa","Big Bash League","2023/24","Powerplay",3,5,0,166.666666666667,0.666666666666667,0,NA
"AB McDonald","Big Bash League","2011/12","Middle",25,35,3,140,0.4,0.16,11.6666666666667
"AB McDonald","Big Bash League","2011/12","Powerplay",93,118,2,126.881720430108,0.301075268817204,0.10752688172043,59
"AB McDonald","Big Bash League","2014/15","Middle",15,15,1,100,0.533333333333333,0.133333333333333,15
