"player","league","season","phase","balls_bowled","runs_conceded","wickets","wides","noballs","economy_rate","bowling_average","bowling_strike_rate","extras_percentage","dot_balls","boundaries_conceded","dot_ball_percentage","boundary_conceded_percentage"
"A Flintoff","Big Bash League","2014/15","Middle",14,29,1,0,0,12.4285714285714,29,14,0,2,4,0.142857142857143,0.285714285714286
"A Flintoff","Big Bash League","2014/15","Powerplay",58,112,3,2,0,11.5862068965517,37.3333333333333,19.3333333333333,0.0178571428571429,13,13,0.224137931034483,0.224137931034483
"A Zampa","Big Bash League","2012/13","Middle",14,11,0,0,0,4.71428571428571,NA,NA,0,5,0,0.357142857142857,0
"A Zampa","Big Bash League","2012/13","Powerplay",72,122,2,0,0,10.1666666666667,61,36,0,19,14,0.263888888888889,0.194444444444444
"A Zampa","Big Bash League","2013/14","Middle",6,15,0,0,0,15,NA,NA,0,1,2,0.166666666666667,0.333333333333333
"A Zampa","Big Bash League","2013/14","Powerplay",30,45,0,0,0,9,NA,NA,0,7,4,0.233333333333333,0.133333333333333
"A Zampa","Big Bash League","2014/15","Middle",32,38,2,1,0,7.125,19,16,0.0263157894736842,10,3,0.3125,0.09375
"A Zampa","Big Bash League","2014/15","Powerplay",154,165,7,1,0,6.42857142857143,23.5714285714286,22,0.00606060606060606,43,9,0.279220779220779,0.0584415584415584
"A Zampa","Big Bash League","2015/16","Middle",36,56,2,3,0,9.33333333333333,28,18,0.0535714285714286,12,6,0.333333333333333,0.166666666666667
"A Zampa","Big Bash League","2015/16","Powerplay",151,172,8,4,1,6.83443708609271,21.5,18.875,0.0290697674418605,48,12,0.317880794701987,0.0794701986754967
"A Zampa","Big Bash League","2016/17","Middle",22,27,0,0,0,7.36363636363636,NA,NA,0,5,2,0.227272727272727,0.0909090909090909
"A Zampa","Big Bash League","2016/17","Powerplay",92,100,5,4,0,6.52173913043478,20,18.4,0.04,29,6,0.315217391304348,0.0652173913043478
"A Zampa","Big Bash League","2017/18","Middle",19,17,1,0,0,5.36842105263158,17,19,0,8,1,0.421052631578947,0.0526315789473684
"A Zampa","Big Bash League","2017/18","Powerplay",88,123,1,1,1,8.38636363636364,123,88,0.016260162601626,19,10,0.215909090909091,0.113636363636364
"A Zampa","Big Bash League","2018/19","Middle",45,31,1,0,0,4.13333333333333,31,45,0,19,0,0.422222222222222,0
"A Zampa","Big Bash League","2018/19","Powerplay",225,282,14,0,0,7.52,20.1428571428571,16.0714285714286,0,73,28,0.324444444444444,0.124444444444444
"A Zampa","Big Bash League","2019/20","Middle",47,58,7,1,0,7.40425531914894,8.28571428571429,6.71428571428571,0.0172413793103448,18,6,0.382978723404255,0.127659574468085
"A Zampa","Big Bash League","2019/20","Powerplay",223,272,13,2,0,7.31838565022422,20.9230769230769,17.1538461538462,0.00735294117647059,72,22,0.322869955156951,0.0986547085201794
"A Zampa","Big Bash League","2020/21","Middle",44,62,3,0,0,8.45454545454546,20.6666666666667,14.6666666666667,0,11,7,0.25,0.159090909090909
"A Zampa","Big Bash League","2020/21","Powerplay",227,279,17,0,0,7.37444933920705,16.4117647058824,13.3529411764706,0,83,28,0.365638766519824,0.123348017621145
"A Zampa","Big Bash League","2021/22","Middle",42,47,4,0,1,6.71428571428571,11.75,10.5,0.0212765957446809,19,6,0.452380952380952,0.142857142857143
"A Zampa","Big Bash League","2021/22","Powerplay",193,254,6,3,0,7.89637305699482,42.3333333333333,32.1666666666667,0.0118110236220472,52,29,0.269430051813472,0.150259067357513
"A Zampa","Big Bash League","2022/23","Middle",58,71,1,1,0,7.3448275862069,71,58,0.0140845070422535,18,8,0.310344827586207,0.137931034482759
"A Zampa","Big Bash League","2022/23","Powerplay",278,338,16,2,0,7.29496402877698,21.125,17.375,0.00591715976331361,79,31,0.284172661870504,0.111510791366906
"A Zampa","Big Bash League","2023/24","Middle",32,29,1,0,0,5.4375,29,32,0,8,1,0.25,0.03125
"A Zampa","Big Bash League","2023/24","Powerplay",148,222,5,2,0,9,44.4,29.6,0.00900900900900901,40,24,0.27027027027027,0.162162162162162
"AB McDonald","Big Bash League","2011/12","Middle",7,7,0,0,0,6,NA,NA,0,1,0,0.142857142857143,0
"AB McDonald","Big Bash League","2011/12","Powerplay",35,63,1,0,0,10.8,63,35,0,7,9,0.2,0.257142857142857
"AB McDonald","Big Bash League","2014/15","Middle",5,2,1,1,0,2.4,2,5,0.5,4,0,0.8,0
"AB McDonald","Big Bash League","2014/15","Powerplay",19,36,2,1,0,11.3684210526316,18,9.5,0.0277777777777778,5,5,0.263157894736842,0.263157894736842
"AB McDonald","Big Bash League","2015/16","Middle",2,3,0,0,0,9,NA,NA,0,0,0,0,0
"AB McDonald","Big Bash League","2015/16","Powerplay",10,18,1,0,0,10.8,18,10,0,3,2,0.3,0.2
"AC Agar","Big Bash League","2014/15","Middle",24,23,3,1,0,5.75,7.66666666666667,8,0.0434782608695652,8,2,0.333333333333333,0.0833333333333333
"AC Agar","Big Bash League","2014/15","Powerplay",120,173,5,0,0,8.65,34.6,24,0,27,16,0.225,0.133333333333333
"AC Agar","Big Bash League","2015/16","Middle",9,14,0,0,0,9.33333333333333,NA,NA,0,1,2,0.111111111111111,0.222222222222222
"AC Agar","Big Bash League","2015/16","Powerplay",39,52,3,1,0,8,17.3333333333333,13,0.0192307692307692,6,4,0.153846153846154,0.102564102564103
"AC Agar","Big Bash League","2016/17","Middle",27,28,0,1,0,6.22222222222222,NA,NA,0.0357142857142857,8,2,0.296296296296296,0.0740740740740741
"AC Agar","Big Bash League","2016/17","Powerplay",141,189,3,0,0,8.04255319148936,63,47,0,41,18,0.290780141843972,0.127659574468085
"AC Agar","Big Bash League","2017/18","Middle",36,37,2,0,0,6.16666666666667,18.5,18,0,12,3,0.333333333333333,0.0833333333333333
"AC Agar","Big Bash League","2017/18","Powerplay",174,165,6,1,0,5.68965517241379,27.5,29,0.00606060606060606,59,9,0.339080459770115,0.0517241379310345
"AC Agar","Big Bash League","2018/19","Middle",23,26,0,0,0,6.78260869565217,NA,NA,0,6,2,0.260869565217391,0.0869565217391304
"AC Agar","Big Bash League","2018/19","Powerplay",97,113,6,3,0,6.98969072164948,18.8333333333333,16.1666666666667,0.0265486725663717,30,10,0.309278350515464,0.103092783505155
"AC Agar","Big Bash League","2019/20","Middle",33,41,1,0,0,7.45454545454545,41,33,0,12,5,0.363636363636364,0.151515151515152
"AC Agar","Big Bash League","2019/20","Powerplay",129,199,6,10,0,9.25581395348837,33.1666666666667,21.5,0.050251256281407,32,21,0.248062015503876,0.162790697674419
"AC Agar","Big Bash League","2021/22","Middle",61,57,2,1,0,5.60655737704918,28.5,30.5,0.0175438596491228,25,3,0.409836065573771,0.0491803278688525
"AC Agar","Big Bash League","2021/22","Powerplay",287,343,17,3,0,7.17073170731707,20.1764705882353,16.8823529411765,0.0087463556851312,92,32,0.320557491289199,0.111498257839721
"AC Agar","Big Bash League","2022/23","Middle",41,52,1,1,0,7.60975609756098,52,41,0.0192307692307692,14,5,0.341463414634146,0.121951219512195
"AC Agar","Big Bash League","2022/23","Powerplay",181,223,5,4,0,7.39226519337017,44.6,36.2,0.0179372197309417,60,19,0.331491712707182,0.104972375690608
"AC Agar","Big Bash League","2023/24","Middle",36,53,2,2,0,8.83333333333333,26.5,18,0.0377358490566038,11,6,0.305555555555556,0.166666666666667
"AC Agar","Big Bash League","2023/24","Powerplay",156,213,6,4,0,8.19230769230769,35.5,26,0.0187793427230047,49,23,0.314102564102564,0.147435897435897
"AC McDermott","Big Bash League","2011/12","Middle",21,33,2,1,0,9.42857142857143,16.5,10.5,0.0303030303030303,9,4,0.428571428571429,0.19047619047619
"AC McDermott","Big Bash League","2011/12","Powerplay",87,99,7,3,0,6.82758620689655,14.1428571428571,12.4285714285714,0.0303030303030303,39,8,0.448275862068966,0.0919540229885057
"AC McDermott","Big Bash League","2012/13","Middle",15,31,1,1,0,12.4,31,15,0.032258064516129,4,5,0.266666666666667,0.333333333333333
"AC McDermott","Big Bash League","2012/13","Powerplay",69,89,7,1,0,7.73913043478261,12.7142857142857,9.85714285714286,0.0112359550561798,26,11,0.376811594202899,0.159420289855072
"AC McDermott","Big Bash League","2013/14","Middle",15,25,0,1,1,10,NA,NA,0.08,5,4,0.333333333333333,0.266666666666667
"AC McDermott","Big Bash League","2013/14","Powerplay",63,108,4,2,2,10.2857142857143,27,15.75,0.037037037037037,19,13,0.301587301587302,0.206349206349206
"AC McDermott","Big Bash League","2014/15","Middle",2,5,0,0,0,15,NA,NA,0,0,1,0,0.5
"AC McDermott","Big Bash League","2014/15","Powerplay",4,7,0,1,0,10.5,NA,NA,0.142857142857143,1,0,0.25,0
"AC Thomas","Big Bash League","2011/12","Middle",27,25,1,2,0,5.55555555555556,25,27,0.08,9,1,0.333333333333333,0.037037037037037
"AC Thomas","Big Bash League","2011/12","Powerplay",111,134,5,4,0,7.24324324324324,26.8,22.2,0.0298507462686567,43,15,0.387387387387387,0.135135135135135
"AC Thomas","Big Bash League","2012/13","Middle",28,28,3,2,0,6,9.33333333333333,9.33333333333333,0.0714285714285714,13,1,0.464285714285714,0.0357142857142857
"AC Thomas","Big Bash League","2012/13","Powerplay",120,121,8,4,0,6.05,15.125,15,0.0330578512396694,53,13,0.441666666666667,0.108333333333333
"AC Thomas","Big Bash League","2013/14","Middle",29,30,1,0,0,6.20689655172414,30,29,0,12,4,0.413793103448276,0.137931034482759
"AC Thomas","Big Bash League","2013/14","Powerplay",111,168,3,5,2,9.08108108108108,56,37,0.0416666666666667,27,18,0.243243243243243,0.162162162162162
"AC Voges","Big Bash League","2013/14","Middle",4,4,2,1,0,6,2,2,0.25,1,0,0.25,0
"AC Voges","Big Bash League","2013/14","Powerplay",20,23,1,0,0,6.9,23,20,0,2,1,0.1,0.05
"AC Voges","Big Bash League","2014/15","Middle",2,1,0,0,0,3,NA,NA,0,1,0,0.5,0
"AC Voges","Big Bash League","2014/15","Powerplay",10,5,0,0,0,3,NA,NA,0,5,0,0.5,0
"AC Voges","Big Bash League","2016/17","Middle",3,6,0,0,0,12,NA,NA,0,0,1,0,0.333333333333333
"AC Voges","Big Bash League","2016/17","Powerplay",15,14,1,0,0,5.6,14,15,0,4,1,0.266666666666667,0.0666666666666667
"AC Voges","Big Bash League","2017/18","Middle",2,7,0,0,0,21,NA,NA,0,0,1,0,0.5
"AC Voges","Big Bash League","2017/18","Powerplay",10,16,0,0,0,9.6,NA,NA,0,2,2,0.2,0.2
"AD Mascarenhas","Big Bash League","2012/13","Middle",7,15,0,0,0,12.8571428571429,NA,NA,0,1,2,0.142857142857143,0.285714285714286
"AD Mascarenhas","Big Bash League","2012/13","Powerplay",35,45,2,0,0,7.71428571428571,22.5,17.5,0,14,4,0.4,0.114285714285714
"AD Mascarenhas","Big Bash League","2013/14","Middle",17,24,1,2,0,8.47058823529412,24,17,0.0833333333333333,6,3,0.352941176470588,0.176470588235294
"AD Mascarenhas","Big Bash League","2013/14","Powerplay",79,124,4,5,0,9.41772151898734,31,19.75,0.0403225806451613,31,15,0.392405063291139,0.189873417721519
"AD Russell","Big Bash League","2014/15","Middle",13,10,2,0,0,4.61538461538462,5,6.5,0,7,1,0.538461538461538,0.0769230769230769
"AD Russell","Big Bash League","2014/15","Powerplay",59,86,2,1,1,8.74576271186441,43,29.5,0.0232558139534884,18,8,0.305084745762712,0.135593220338983
"AD Russell","Big Bash League","2015/16","Middle",41,55,3,2,0,8.04878048780488,18.3333333333333,13.6666666666667,0.0363636363636364,14,6,0.341463414634146,0.146341463414634
"AD Russell","Big Bash League","2015/16","Powerplay",148,211,8,11,3,8.55405405405405,26.375,18.5,0.0663507109004739,62,29,0.418918918918919,0.195945945945946
"AD Russell","Big Bash League","2016/17","Middle",19,32,0,1,1,10.1052631578947,NA,NA,0.0625,5,4,0.263157894736842,0.210526315789474
