"player","leagues_covered","seasons_covered","bowling_style","matches_played_total","balls_faced_total","runs_scored_total","dismissals_total","strike_rate_total","average_total","boundaries_4s_total","boundaries_6s_total","fifties_total","hundreds_total","matches_bowled_total","balls_bowled_total","runs_conceded_total","wickets_total","economy_total","bowling_average_total","bowling_strike_rate_total","min_balls_bat_ok","min_balls_bowl_ok"
"A Ashish Reddy",1,4,"Right-arm medium",23,193,280,15,145.077720207254,18.6666666666667,16,15,0,0,20,264,400,19,9.09090909090909,21.0526315789474,13.8947368421053,0,0
"A Ashok",1,2,"Right-arm medium",12,39,34,5,87.1794871794872,6.8,3,0,0,0,19,388,457,23,7.06701030927835,19.8695652173913,16.8695652173913,0,1
"A Athanaze",1,1,"Right-arm medium",8,152,165,7,108.552631578947,23.5714285714286,14,5,1,0,0,0,0,0,-Inf,-Inf,-Inf,0,0
"A Badoni",1,4,"Right-arm medium",46,695,963,35,138.561151079137,27.5142857142857,73,38,6,0,7,35,50,4,8.57142857142857,12.5,8.75,1,0
"A Balbirnie",1,3,"Right-arm medium",16,225,301,14,133.777777777778,21.5,30,7,2,0,0,0,0,0,-Inf,-Inf,-Inf,0,0
"A Bramble",1,3,"Right-arm medium",12,95,78,10,82.1052631578947,7.8,7,1,0,0,0,0,0,0,-Inf,-Inf,-Inf,0,0
"A Carter",1,3,"Right-arm medium",2,5,5,1,100,5,0,0,0,0,16,336,485,22,8.66071428571429,22.0454545454545,15.2727272727273,0,1
"A Chandila",1,2,"Right-arm medium",2,7,4,0,57.1428571428571,-Inf,0,0,0,0,12,234,245,11,6.28205128205128,22.2727272727273,21.2727272727273,0,0
"A Chopra",1,2,"Right-arm medium",6,71,53,5,74.6478873239437,10.6,7,0,0,0,0,0,0,0,-Inf,-Inf,-Inf,0,0
"A Choudhary",1,1,"Right-arm medium",3,20,25,1,125,25,1,1,0,0,5,102,144,5,8.47058823529412,28.8,20.4,0,0
"A Dananjaya",1,4,"Right-arm medium",4,21,13,3,80,7,1,0,0,0,11,234,368,9,11.75,47,42,0,0
"A Daniel",1,1,"Right-arm medium",0,0,0,0,-Inf,-Inf,0,0,0,0,2,24,33,1,8.25,33,24,0,0
"A Flintoff",1,1,"Right-arm medium",3,53,62,2,175,31,5,2,0,0,3,66,106,6,9.63636363636364,53,33,0,0
"A Hepburn",1,1,"Right-arm medium",3,28,25,2,89.2857142857143,12.5,3,0,0,0,5,75,109,6,8.72,18.1666666666667,12.5,0,0
"A Javid",1,5,"Right-arm medium",33,391,459,18,117.391304347826,25.5,34,7,1,0,40,538,656,20,7.31598513011152,32.8,26.9,1,1
"A Kamboj",1,2,"Right-arm medium",6,14,16,2,114.285714285714,8,2,0,0,0,11,192,288,10,9,28.8,19.2,0,0
"A Kapil",1,1,"Right-arm medium",3,22,28,2,127.272727272727,14,2,1,0,0,2,18,25,1,8.33333333333333,25,18,0,0
"A Karvelas",1,2,"Right-arm medium",5,22,13,1,59.0909090909091,13,1,0,0,0,8,139,236,10,10.1870503597122,23.6,13.9,0,0
"A Kumble",1,3,"Right-arm medium",15,47,35,2,74.468085106383,17.5,3,0,0,0,42,970,1089,49,6.7360824742268,22.2244897959184,19.7959183673469,0,1
